22,Salamín Tipo Milán,Nutral Pig,fiambres,Unidad,salamin-tipo-milan-nutral-pig.jpg,false,false,false,false
24,Bondiola,Natural Pig,fiambres,Unidad,bondiola-natural-pig.jpg,false,false,false,false
62,Jamón Crudo,Tacural,fiambres,Aprox. 3 kg,jamon-crudo-tacural.jpg,false,false,false,false
63,Jamón Cocido,La Tirolesa,fiambres,Aprox. 5.6 kg,jamon-cocido-la-tirolesa.jpg,true,false,false,false,,,,$7.400 / kg,,,,
64,Jamonada,La Tirolesa,fiambres,Aprox. 5.6 kg,jamonada-la-tirolesa.jpg,true,false,false,false,,,,$4.320 / kg,,,,

# ── LÁCTEOS ──────────────────────────────────────────────────────────────────
25,Crema para Batir 36%,La Paulina,lacteos,Balde 5000 cc,crema-la-paulina.jpg,false,false,true,false
26,Leche Entera,COTAPA,lacteos,Caja 12u x 1 L,leche-entera-cotapa.jpg,false,false,false,false
27,Manteca Clásica,Cotampo,lacteos,Pan 2.5 kg,manteca-cotampo.jpg,false,false,false,false
65,Crema Doble,La Paulina,lacteos,Balde 5 kg,crema-doble-la-paulina.jpg,false,false,false,false

# ── CONSERVAS ────────────────────────────────────────────────────────────────
29,Tomate Triturado,Finca de Santiago,conservas,Pouch - Caja 4 unidades x 2 kg c/u,tomate-triturado-pouch-finca-de-santiago.jpg,true,false,true,false,,,,$7.180 la caja x 4 u.,,,,
31,Choclo en Grano,Finca de Santiago,conservas,Lata 800 g,choclo-en-grano-finca-de-santiago.jpg,false,false,false,false
32,Durazno en Mitades,Gentleman,conservas,Lata 820 g,durazno-en-mitades-gentleman.jpg,false,false,false,false
33,Ananá en Rodajas,Gentleman,conservas,Lata 820 g,anana-en-rodajas-gentleman.jpg,false,false,false,false
34,Cóctel de Cuatro Frutas,Gentleman,conservas,Lata 820 g,coctel-de-frutas-gentleman.jpg,false,false,false,false
35,Palmitos en Rodajas,Finca de Santiago,conservas,Lata 800 g,palmitos-en-rodajas-finca-de-santiago.jpg,false,true,false,false
